City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Sena Madureira,BR,71.49,overcast clouds,-9.0656,-68.6569,Hotel Central
428,Bull Savanna,JM,73.53,overcast clouds,17.8868,-77.5902,Big Red's
434,Jacareacanga,BR,71.91,light rain,-6.2222,-57.7528,Casa do Ian😎
437,Barra Patuca,HN,77.94,overcast clouds,15.8,-84.2833,
438,Bandarbeyla,SO,77.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
447,Champua,IN,77.27,clear sky,22.0833,85.6667,Rahul Nayak jaintgarh
453,Magaria,NE,73.69,clear sky,12.9983,8.9099,Chez Honorable Chapiou
461,Tenenkou,ML,75.81,clear sky,14.4572,-4.9169,
464,Simdega,IN,75.83,scattered clouds,22.6167,84.5167,Circuit House
468,Puerto Escondido,MX,78.39,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
470,Harper,LR,78.42,light rain,4.375,-7.7169,Screensaver
476,Barcarena,BR,78.85,few clouds,-1.5058,-48.6258,Dos Santos Hotel
481,Diapaga,BF,76.41,few clouds,12.0708,1.7889,
482,Marapanim,BR,75.06,broken clouds,-0.7175,-47.6997,Ecomangue Pousada
485,Ibra,OM,71.24,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
489,Enugu,NG,73.22,broken clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
490,Bafoulabe,ML,78.55,few clouds,13.8065,-10.8321,
491,Lagunas,PE,70.39,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
493,Valenca,BR,72.59,scattered clouds,-13.3703,-39.0731,Hotel Galeão
496,Puerto Ayacucho,VE,77.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
505,Tibiri,NE,74.46,clear sky,13.5627,7.0485,
521,Mbandaka,CD,70.75,overcast clouds,0.0487,18.2603,Guest House Epervier
527,Umm Lajj,SA,74.97,few clouds,25.0213,37.2685,Moon light Furnished Units
531,Goure,NE,79.02,clear sky,13.9835,10.2704,
541,Muana,BR,76.6,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
546,Chincholi,IN,76.46,overcast clouds,17.4667,77.4333,Friends men's were
547,Maturin,VE,71.89,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
556,Mushie,CD,71.02,broken clouds,-3.0167,16.9,
565,Jutai,BR,72.86,light rain,-5.1833,-68.9,
566,Dakar,SN,78.93,clear sky,14.6937,-17.4441,Redface Studios Meublés
576,Nagua,DO,74.44,broken clouds,19.3832,-69.8474,Hotel Cambri
580,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
592,Nioro,GM,76.26,broken clouds,13.35,-15.75,
597,Antalaha,MG,77.88,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
602,Atar,MR,76.33,overcast clouds,20.5169,-13.0499,Oumou Elghoura
606,Doha,QA,71.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
609,Sagua La Grande,CU,74.39,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
619,Diamantino,BR,70.72,moderate rain,-14.4086,-56.4461,Hotel Delta
631,Primero De Enero,CU,78.66,overcast clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
635,Yellandu,IN,79.2,broken clouds,17.6,80.3333,Chekuri Satyanarayana
636,Farafangana,MG,76.32,few clouds,-22.8167,47.8333,Miarina
641,Inhambane,MZ,73.87,light rain,-23.865,35.3833,Oceano
642,Birao,CF,70.68,clear sky,10.2849,22.7882,
644,Kidodi,TZ,72.5,scattered clouds,-7.6036,37.0044,Royal Family Lodge
647,Tombouctou,ML,72.91,overcast clouds,20.0,-3.0,
653,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
659,Cardenas,CU,75.96,overcast clouds,23.0375,-81.2047,Casa JF 1906
661,Sola,VU,74.07,moderate rain,-13.8833,167.55,Leumerus Bungalows
666,Barsi,IN,77.86,overcast clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
669,Gamba,GA,72.75,moderate rain,-2.65,10.0,
670,San Carlos,VE,75.4,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
678,Manakara,MG,76.42,few clouds,-22.1333,48.0167,La Residence Manakara
680,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
681,Nishihara,JP,78.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
685,Kariba,ZW,77.52,overcast clouds,-16.5167,28.8,Caribbea Bay Hotel
691,Ula,IN,79.05,haze,22.7225,88.5556,Bachhawat Estate
697,Sinnamary,GF,77.29,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
698,Segou,ML,76.59,clear sky,13.4317,-6.2157,Comme chez soi
714,Tumbi,TZ,70.29,broken clouds,-5.0667,32.7333,
716,Namibe,AO,70.38,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
717,Sambava,MG,76.37,light rain,-14.2667,50.1667,Melrose
